label,text,description
ABBR:exp,What does NN O `` mean when used as a prefix in Irish surnames ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is HTML ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does e.g. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the technical term ISDN mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does pH stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is HTML ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does CNN stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does SIDS stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does G.M.T. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does ` PSI ' stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,CNN is the abbreviation for what ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the `` c '' stand for in the equation E=mc2 ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the `` c '' stand for in the equation E=mc2 ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NN O `` mean when used as a prefix in Irish surnames ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does BUD stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,CNN is the abbreviation for what ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is TMJ ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NAFTA stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is the full name of the PLO ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NECROSIS mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does A&W of root beer fame stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does ` PSI ' stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the word LASER mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does INRI stand for when used on Jesus ' cross ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NASDAQ stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the abbreviation SOS mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does SIDS stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does CNN stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is HDLC ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NASA stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NASA stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the word LASER mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the acronym CPR mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the abbreviation AIDS stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does EKG stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NN O `` mean when used as a prefix in Irish surnames ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does USPS stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is the full name of the PLO ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is HTML ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is BPH ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does MSG stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is BPH ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the abbreviation cwt. ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the word LASER mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"When reading classified ads , what does EENTY : other stand for ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"When reading classified ads , what does EENTY : other stand for ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does S.O.S. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NASDAQ stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does CNN stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What do the letters ZIP stand for in the phrase `` ZIP code '' ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does U.S.S.R. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does G.M.T. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the `` c '' stand for in the equation E=mc2 ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NN O `` mean when used as a prefix in Irish surnames ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"What do the letters D.C. stand for in Washington , D.C. ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is a `` USB '' port on a computer ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is the full form of .com ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the abbreviation AIDS stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is AFS ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NECROSIS mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does S.O.S. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"What does Ms. , Miss , and Mrs. stand for ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is RCD ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NASA stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NAFTA stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does VCR stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does S.O.S. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does CNN stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is DEET ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"When reading classified ads , what does EENTY : other stand for ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the E stand for in the equation E=mc2 ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is IOC an abbreviation of ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is IOC an abbreviation of ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the abbreviation cwt. ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"What does Ms. , Miss , and Mrs. stand for ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does `` B.Y.O.B. '' mean ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does e.g. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"What is p.m. an abbreviation for , as in 5 p.m. ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is the full form of .com ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does INRI stand for when used on Jesus ' cross ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,CNN is the abbreviation for what ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does the abbreviation IOC stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is RAM in the computer ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does G.M.T. stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does A&W of root beer fame stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"What do the letters D.C. stand for in Washington , D.C. ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,CNN is the abbreviation for what ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does NAFTA stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,"In a computer , what does SCSI mean ?",Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does IOC stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,CPR is the abbreviation for what ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does ` PSI ' stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,CNN is the abbreviation for what ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What is RCD ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does SIDS stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does SHIELD stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
ABBR:exp,What does snafu stand for ?,Inquiries about the meaning or full form of an abbreviation or acronym.
DESC:def,What is a pyrotechnic display ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a Mexican hairless ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a Devo hat ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is Australia Day ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is paracetamol ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the circumorbital hematoma ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What are ethics ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What are amicable numbers ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is meant by blood SED rate ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the filmmakers collabrative ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is chromatology ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is color ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the definition of cosmology ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What was the Vietnam War ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What 's a `` coup de poing '' to a French boxer ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does laser stand for ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does the name Jenna mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a micron ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the medical condition of hypertension ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What are the alveoli ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is an annotated bibliography ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is measured in curies ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a nanometer ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a common dolphin ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is proposition 98 about ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is troilism ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a First World country ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is hebephrenia ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is an arab strap ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is bio-diversity ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a bourdon tube ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a firewall ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does the name Billie mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the definition of low island ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is literary criticism ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the contents of proposition 98 ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is color ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is Toulmin logic ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the definition of low island ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a courier ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a caul ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does the name Shawn mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a Devo hat ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the highest Roman numeral ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the VDRL test of blood ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a `` node '' in computer terms ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,"What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''",Asks for the definition or meaning of a specific term or concept.
DESC:def,What does the name Billie mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a dental root canal ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does `` Semper Fidelis '' mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a wart ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is prepared mustard ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is making love ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a transistor ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does storm wave mean in Japanese ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the Bernoulli Principle ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does Inuit and Eskimo mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a bourdon tube ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does Elysium mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is narcolepsy ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What are the Twin Cities ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a rhomboideus minor ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does it mean `` Rupee Depreciates '' ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does `` intractable plantar keratoma '' mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is Eagle 's syndrome styloid process ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the definition of the term `` weapons system '' ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does Inuit and Eskimo mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is Australia Day ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a ` borrow pit ' ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a serigraph ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is dry ice ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a virtual IP address ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is cache memory ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does `` Janelle '' mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the C programming language ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,"What is the 401 , K , plan ?",Asks for the definition or meaning of a specific term or concept.
DESC:def,What is artificial intelligence ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is an arab strap ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What are shooting stars ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,"What is the 401 , K , plan ?",Asks for the definition or meaning of a specific term or concept.
DESC:def,What does the number 33 on the Rolling Rock beer bottle mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is tyvek ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,"What does caliente mean , in English ?",Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a `` False Moon '' ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is habeas corpus ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a leaky heart valve ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a hyperlink ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,Define the Pheonix Club ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a green bog ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the AIM-54C Phoenix ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is infomatics ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a Cartesian Diver ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What was the Vietnam War ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is Tetrinet ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is humidity ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a neurosurgeon ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the largest variety of cactus ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What does `` Semper Fidelis '' mean ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is the meaning of the name Ella ?,Asks for the definition or meaning of a specific term or concept.
DESC:def,What is a dangling participle ?,Asks for the definition or meaning of a specific term or concept.
DESC:desc,What is the origin of gametophytic tissue ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What do Japanese school uniforms look like ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,"What is the origin of the word , JJ .","Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What did n't Rocky Marciano do in his pro boxing career ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the difference between fatalism and determinism ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is Compaq 's mission statement ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What do Christian Scientists believe in ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What do bee hives do in cranberry bogs ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What do insects do through their spiracles ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the difference between classical conditioning and operant conditioning ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are some interesting facts and information about dogsledding ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are the short- and long-term effects of underage drinking ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What did Delilah do to Samson 's hair ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are the powers and weaknesses of Green Lantern 's ring ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,Where did the term fireplug come from ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the root of all evil ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What did John F. Kennedy consider his greatest blunder in office ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the economic impact of unemployment on the economy ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What did Mighty Mouse always sing as he went into action ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,Where does `` bovine '' come from ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the origin of the name Katie ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the difference between a preface and a foreword ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What did Mighty Mouse always sing as he went into action ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What excuse did the NATO people give for hitting the Chinese embassy ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are the powers and weaknesses of Green Lantern 's ring ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What information can you get me on Fairground Park in St. Louis,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the difference between a preface and a foreword ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What should you yell to hail a taxi in Madrid ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is difference between a poster and a print ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What 's the difference between sleet and freezing rain ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are the living conditions in Cuba ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What was the rallying cry of the early American revolutionaries ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the history of yo-yos ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What effects do nitrates have on the environment ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,Where did the name root beer come from ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the origin of the word `` mushroom '' ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What will happen when sodium is put in water ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are the distinct physical characterstics of the Arabian horse ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are some children 's rights ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What did the only repealed amendment to the U.S. Constitution deal with ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are you hearing when you put a seashell to your ear ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What does a nihilist believe in ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What were the three prophecies the witches make to Macbeth ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What should you yell to hail a taxi in Madrid ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the historical relationship of Catholic Church and bingo ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,"What was the first Funk 'N Lata , Brazilian group , success ?","Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,Where does `` bovine '' come from ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the difference between classical conditioning and operant conditioning ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What facial feature typically contains about 55 hairs ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the proof that houseplants metabolize carcinogens ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are differences between 1980 and 1990 ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What happened to Moon Maiden ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the origin of the surname of Braun ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the secret of the universe ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What are the lyrics to `` Smelly Cat '' ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What do bee hives do in cranberry bogs ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
DESC:desc,What is the origin of blue for boys and pink for girls ?,"Seeks a detailed description or explanation of a concept, belief, or origin."
